Country;Year;Goals;Winner;Runnerup
Austria;1960;;;
Belgium;1960;;;
Bulgaria;1960;;;
Croatia;1960;;;
Czech Republic;1960;2;;
Denmark;1960;;;
England;1960;;;
France;1960;4;;
Germany;1960;;;
Greece;1960;;;
Hungary;1960;;;
Italy;1960;;;
Latvia;1960;;;
Netherlands;1960;;;
Norway;1960;;;
Poland;1960;;;
Portugal;1960;;;
Ireland (Republic);1960;;;
Romania;1960;;;
Russia;1960;5;Russia as Soviet Union;
Scotland;1960;;;
Serbia;1960;6;;Serbia as Yugoslavia
Slovenia;1960;;;
Spain;1960;;;
Sweden;1960;;;
Switzerland;1960;;;
Turkey;1960;;;
Ukraine;1960;;;
Austria;1964;;;
Belgium;1964;;;
Bulgaria;1964;;;
Croatia;1964;;;
Czech Republic;1964;;;
Denmark;1964;1;;
England;1964;;;
France;1964;;;
Germany;1964;;;
Greece;1964;;;
Hungary;1964;4;;
Italy;1964;;;
Latvia;1964;;;
Netherlands;1964;;;
Norway;1964;;;
Poland;1964;;;
Portugal;1964;;;
Ireland (Republic);1964;;;
Romania;1964;;;
Russia;1964;4;;Russia as Soviet Union
Scotland;1964;;;
Serbia;1964;;;
Slovenia;1964;;;
Spain;1964;4;Spain;
Sweden;1964;;;
Switzerland;1964;;;
Turkey;1964;;;
Ukraine;1964;;;
Austria;1968;;;
Belgium;1968;;;
Bulgaria;1968;;;
Croatia;1968;;;
Czech Republic;1968;;;
Denmark;1968;;;
England;1968;2;;
France;1968;;;
Germany;1968;;;
Greece;1968;;;
Hungary;1968;;;
Italy;1968;3;Italy;
Latvia;1968;;;
Netherlands;1968;;;
Norway;1968;;;
Poland;1968;;;
Portugal;1968;;;
Ireland (Republic);1968;;;
Romania;1968;;;
Russia;1968;0;;
Scotland;1968;;;
Serbia;1968;2;;
Slovenia;1968;;;
Spain;1968;;;Serbia as Yugoslavia
Sweden;1968;;;
Switzerland;1968;;;
Turkey;1968;;;
Ukraine;1968;;;
Austria;1972;;;
Belgium;1972;3;;
Bulgaria;1972;;;
Croatia;1972;;;
Czech Republic;1972;;;
Denmark;1972;;;
England;1972;;;
France;1972;;;
Germany;1972;5;West Germany;
Greece;1972;;;
Hungary;1972;1;;
Italy;1972;;;
Latvia;1972;;;
Netherlands;1972;;;
Norway;1972;;;
Poland;1972;;;
Portugal;1972;;;
Ireland (Republic);1972;;;
Romania;1972;;;
Russia;1972;1;;Russia as Soviet Union
Scotland;1972;;;
Serbia;1972;;;
Slovenia;1972;;;
Spain;1972;;;
Sweden;1972;;;
Switzerland;1972;;;
Turkey;1972;;;
Ukraine;1972;;;
Austria;1976;;;
Belgium;1976;;;
Bulgaria;1976;;;
Croatia;1976;;;
Czech Republic;1976;5;Czech Republic;
Denmark;1976;;;
England;1976;;;
France;1976;;;
Germany;1976;6;;West Germany
Greece;1976;;;
Hungary;1976;;;
Italy;1976;;;
Latvia;1976;;;
Netherlands;1976;4;;
Norway;1976;;;
Poland;1976;;;
Portugal;1976;;;
Ireland (Republic);1976;;;
Romania;1976;;;
Russia;1976;;;
Scotland;1976;;;
Serbia;1976;4;;
Slovenia;1976;;;
Spain;1976;;;
Sweden;1976;;;
Switzerland;1976;;;
Turkey;1976;;;
Ukraine;1976;;;
Austria;1980;;;
Belgium;1980;4;;Belgium
Bulgaria;1980;;;
Croatia;1980;;;
Czech Republic;1980;5;;
Denmark;1980;;;
England;1980;3;;
France;1980;;;
Germany;1980;6;West Germany;
Greece;1980;1;;
Hungary;1980;;;
Italy;1980;2;;
Latvia;1980;;;
Netherlands;1980;4;;
Norway;1980;;;
Poland;1980;;;
Portugal;1980;;;
Ireland (Republic);1980;;;
Romania;1980;;;
Russia;1980;;;
Scotland;1980;;;
Serbia;1980;;;
Slovenia;1980;;;
Spain;1980;2;;
Sweden;1980;;;
Switzerland;1980;;;
Turkey;1980;;;
Ukraine;1980;;;
Austria;1984;;;
Belgium;1984;4;;
Bulgaria;1984;;;
Croatia;1984;;;
Czech Republic;1984;;;
Denmark;1984;9;;
England;1984;;;
France;1984;14;France;
Germany;1984;2;;
Greece;1984;;;
Hungary;1984;;;
Italy;1984;;;
Latvia;1984;;;
Netherlands;1984;;;
Norway;1984;;;
Poland;1984;;;
Portugal;1984;4;;
Ireland (Republic);1984;;;
Romania;1984;2;;
Russia;1984;;;
Scotland;1984;;;
Serbia;1984;2;;
Slovenia;1984;;;
Spain;1984;4;;Spain
Sweden;1984;;;
Switzerland;1984;;;
Turkey;1984;;;
Ukraine;1984;;;
Austria;1988;;;
Belgium;1988;;;
Bulgaria;1988;;;
Croatia;1988;;;
Czech Republic;1988;;;
Denmark;1988;2;;
England;1988;2;;
France;1988;;;
Germany;1988;6;;
Greece;1988;;;
Hungary;1988;;;
Italy;1988;4;;
Latvia;1988;;;
Netherlands;1988;8;Netherlands;
Norway;1988;;;
Poland;1988;;;
Portugal;1988;;;
Ireland (Republic);1988;2;;
Romania;1988;;;
Russia;1988;7;;Russia as Soviet Union
Scotland;1988;;;
Serbia;1988;;;
Slovenia;1988;;;
Spain;1988;3;;
Sweden;1988;;;
Switzerland;1988;;;
Turkey;1988;;;
Ukraine;1988;;;
Austria;1992;;;
Belgium;1992;;;
Bulgaria;1992;;;
Croatia;1992;;;
Czech Republic;1992;;;
Denmark;1992;6;Denmark;
England;1992;1;;
France;1992;2;;
Germany;1992;7;;Germany
Greece;1992;;;
Hungary;1992;;;
Italy;1992;;;
Latvia;1992;;;
Netherlands;1992;6;;
Norway;1992;;;
Poland;1992;;;
Portugal;1992;;;
Ireland (Republic);1992;;;
Romania;1992;;;
Russia;1992;7;;
Scotland;1992;3;;
Serbia;1992;;;
Slovenia;1992;;;
Spain;1992;;;
Sweden;1992;6;;
Switzerland;1992;;;
Turkey;1992;;;
Ukraine;1992;;;
Austria;1996;;;
Belgium;1996;;;
Bulgaria;1996;3;;
Croatia;1996;5;;
Czech Republic;1996;7;;Czech Republic
Denmark;1996;4;;
England;1996;8;;
France;1996;5;;
Germany;1996;10;Germany;
Greece;1996;;;
Hungary;1996;;;
Italy;1996;3;;
Latvia;1996;;;
Netherlands;1996;3;;
Norway;1996;;;
Poland;1996;;;
Portugal;1996;5;;
Ireland (Republic);1996;;;
Romania;1996;1;;
Russia;1996;1;;
Scotland;1996;1;;
Serbia;1996;;;
Slovenia;1996;;;
Spain;1996;4;;
Sweden;1996;;;
Switzerland;1996;1;;
Turkey;1996;0;;
Ukraine;1996;;;
Austria;2000;;;
Belgium;2000;2;;
Bulgaria;2000;;;
Croatia;2000;;;
Czech Republic;2000;3;;
Denmark;2000;0;;
England;2000;5;;
France;2000;13;France;
Germany;2000;1;;
Greece;2000;;;
Hungary;2000;;;
Italy;2000;9;;Italy
Latvia;2000;;;
Netherlands;2000;13;;
Norway;2000;1;;
Poland;2000;;;
Portugal;2000;10;;
Ireland (Republic);2000;;;
Romania;2000;4;;
Russia;2000;4;;
Scotland;2000;;;
Serbia;2000;8;;
Slovenia;2000;4;;
Spain;2000;7;;
Sweden;2000;2;;
Switzerland;2000;;;
Turkey;2000;3;;
Ukraine;2000;;;
Austria;2004;;;
Belgium;2004;;;
Bulgaria;2004;1;;
Croatia;2004;4;;
Czech Republic;2004;10;;
Denmark;2004;4;;
England;2004;10;;
France;2004;7;;
Germany;2004;2;;
Greece;2004;7;Greece;
Hungary;2004;;;
Italy;2004;3;;
Latvia;2004;1;;
Netherlands;2004;7;;
Norway;2004;;;
Poland;2004;;;
Portugal;2004;8;;Portugal
Ireland (Republic);2004;;;
Romania;2004;;;
Russia;2004;2;;
Scotland;2004;;;
Serbia;2004;;;
Slovenia;2004;;;
Spain;2004;2;;
Sweden;2004;8;;
Switzerland;2004;1;;
Turkey;2004;;;
Ukraine;2004;;;
Austria;2008;1;;
Belgium;2008;;;
Bulgaria;2008;;;
Croatia;2008;5;;
Czech Republic;2008;4;;
Denmark;2008;;;
England;2008;;;
France;2008;1;;
Germany;2008;10;;Germany
Greece;2008;1;;
Hungary;2008;;;
Italy;2008;3;;
Latvia;2008;;;
Netherlands;2008;10;;
Norway;2008;;;
Poland;2008;1;;
Portugal;2008;7;;
Ireland (Republic);2008;;;
Romania;2008;1;;
Russia;2008;7;;
Scotland;2008;;;
Serbia;2008;;;
Slovenia;2008;;;
Spain;2008;12;Spain;
Sweden;2008;3;;
Switzerland;2008;3;;
Turkey;2008;8;;
Ukraine;2008;;;
Austria;2012;;;
Belgium;2012;;;
Bulgaria;2012;;;
Croatia;2012;4;;
Czech Republic;2012;4;;
Denmark;2012;4;;
England;2012;5;;
France;2012;3;;
Germany;2012;10;;
Greece;2012;5;;
Hungary;2012;;;
Italy;2012;6;;Italy
Latvia;2012;;;
Netherlands;2012;2;;
Norway;2012;;;
Poland;2012;2;;
Portugal;2012;6;;
Ireland (Republic);2012;1;;
Romania;2012;;;
Russia;2012;5;;
Scotland;2012;;;
Serbia;2012;;;
Slovenia;2012;;;
Spain;2012;12;Spain;
Sweden;2012;5;;
Switzerland;2012;;;
Turkey;2012;;;
Ukraine;2012;2;;
